t,Gamma_beta,coherence,gamma_phi,bath_energy,system_entropy,Sigma_beta
1.185714285714285721e+00,1.089161621290849924e+00,3.364984886494828409e-01,1.725250426335385390e+00,2.488865214020226369e-01,6.354115693359825290e-01,3.124276783356209286e+00
1.192857142857142838e+00,1.101513651650437353e+00,3.323676139678777841e-01,1.733313010277255817e+00,2.513047261276178390e-01,6.368483366537025514e-01,3.149895597929880608e+00
1.199999999999999956e+00,1.113923163463383492e+00,3.282685802425797106e-01,1.741345245075697212e+00,2.537263913919348135e-01,6.382550670289242056e-01,3.175518980948272230e+00
1.207142857142857073e+00,1.126389940204932882e+00,3.242015332996245891e-01,1.749347202362991682e+00,2.561514051083669252e-01,6.396322082646410667e-01,3.201146259348310430e+00
1.214285714285714191e+00,1.138913765867882288e+00,3.201666089002018212e-01,1.757318955415647643e+00,2.585796561464653864e-01,6.409802070578699551e-01,3.226776768522523486e+00
1.221428571428571308e+00,1.151494424974202735e+00,3.161639328804774496e-01,1.765260579120269124e+00,2.610110343347313289e-01,6.422995088038723210e-01,3.252409852151185721e+00
1.228571428571428426e+00,1.164131702586418182e+00,3.121936212929157795e-01,1.773172149939644227e+00,2.634454304631398402e-01,6.435905574069573643e-01,3.278044862038355767e+00
1.235714285714285765e+00,1.176825384318744838e+00,3.082557805489878344e-01,1.781053745879056516e+00,2.658827362854004339e-01,6.448537950978078248e-01,3.303681157951812164e+00
1.242857142857142883e+00,1.189575256347988885e+00,3.043505075631574575e-01,1.788905446452831338e+00,2.683228445209582813e-01,6.460896622572667169e-01,3.329318107466849419e+00
1.250000000000000000e+00,1.202381105424205288e+00,3.004778898980374202e-01,1.796727332651125053e+00,2.707656488567420361e-01,6.472985972465201687e-01,3.354955085813940308e+00
1.257142857142857117e+00,1.215242718881124784e+00,2.966380059106079603e-01,1.804519486906946080e+00,2.732110439486621356e-01,6.484810362436073117e-01,3.380591475730228446e+00
